,Feature_name,Chinese,English,Grade,Standard
0, computer numerical controlled,"电脑控制,数控,数字化,数控车床,数字控制,数控机床,数控技术,计算机，",cnc，CNC， computer controlled， numerical controlled， computer numerical controll， computer controll，numerical-controlled，numerical control，NC，CNC machine tools，numerical control machine，Digital Control，digital，Digit Control Technique;Numerical Control Technology;CNC Technology;NUMERICAL CONTROL,Grade not available/等级不存在,Standard not available/标准不存在
1, conventional," 依照惯例的,遵循习俗的,老一套的,惯例的,普通的,常规的 ,一般的","routine,regular,general,common",Grade not available/等级不存在,Standard not available/标准不存在
2, liquid,液体的，液态，液体状态，液化的，液，,"liquid, liquefied,fluid,liquor",Grade not available/等级不存在,Standard not available/标准不存在
3, low pressure,"低压的,低压,小于0．01Mpa,小于10000pa"," low pressure,low-pressure,Less than 0.01 Mpa,less than 10000 pa,",Grade not available/等级不存在,"GB 17820,BS 6891"
4, primarily roughing,"粗加工,"," primarily roughing,roughing,rough work,rough finish,rough machining,",Grade not available/等级不存在,Standard not available/标准不存在
5,3 strokes,"三次,3次,三回,3回,三次加工","3 strokes,3 stroke,three stroke,three times",Grade not available/等级不存在,Standard not available/标准不存在
6,AlMg3,铝镁合金，镁铝合金，镁铝，Al-Mg系合金，防锈铝,AlMg3，almg3，,"H111,5754,5005,5252,5251,5052,5154,5182,5356,5456,5457,5652,5657,5A02,5A03,5A05,5A06,5A12",Standard not available/标准不存在
7,average,"平均的,一般的,平均,普通的,平常的","mean,average",Grade not available/等级不存在,Standard not available/标准不存在
8,chromium steel,"铬钢,不锈钢","cr,chromium steel,chromium stainless steel,stainless steel,stainless","EN 10088,EN 10088,GB 1220,GB 3086,GB 6967,GB 40Cr,GB 40CrAH,GB A20455,IS 40Cr4,ISO 41Cr4,JIS SCr440H,KS SCr440H,ASTM A29 Grade 5140,ASTM A304 Grade 5140H,UNS ,EN 10270-3,GB/T 3280,GB/T 4237,EN10327,GB24511,GB13296,GB/T1220,chromium-nickel steelG51400,EN 1.7035,DIN 1.7035,DIN 41Cr4,AFNOR 41Cr4,BS 41Cr4,BS 530M40,UNE 41Cr4,AISI 5140,AISI 5140H,SAE 5140,SAE 5140H,JIS SCr440,JIS SCr440WCH,JIS SCr440M,GOST 41H,GOST 38ChA,GB/T 40Cr,GB/T A20402,ASTM 5140,UNS H51400,IS 40Cr1,EN 10083-1,DIN 17204,EN 10297-1,EN 41Cr4,DIN 1.7035,AFNOR 41Cr4,BS 41Cr4,BS 530M40,UNE 41Cr4,AISI 5140,AISI 5140H,SAE 5140,SAE 5140H,JIS SCr440,JIS SCr440WCH,JIS SCr440H,JIS SCr440M,GB 40Cr,GB/T 40Cr,GB/T A20402,ASTM 5140,UNS H51400,UNS G51400,IS 40Cr1,IS 40Cr4,SCr440,SCr445,1.3505,1.4014,1.4716,1.4721,1.4733,1.4861,100Cr6 Mod,100CrMn6,103Cr,103Cr4Mn4,103Cr6,104Cr6,SNC236,SNC415,SCr440,SCr445',GO 3,GO 4,Grade CA-15,Grade CA-15M Class A,Grade E3N,IS 4896 Grade 1,IS 4896 Grade 2,IS 4896 Grade 3,S 148,SA-263,SCr 2,SCr 21,SCr 22,SCr 3,SCr 4,SCr 5,SCr415,SCr420,SCr430,SCr435,ShH15-ShD,SMn 1,SMn 2,SMn 21,SMn 3,SMn420,SMn433,SMn438,SMn443,SMnC 21,SMnC 3,SMnC420',SMnC443,SNC 1,SNC 2',SNC 21,SNC 22,SNC 3,SNC631,SNC815,SNC836,T74000,T74001,T74002,T74003,T74005,T91,W74030,W74031,W74032,W74033,W74035,SCr420,1.3504,1.3514,1.3934,1.4014,1.4044,BÖHLER FOX 20 MVW,GRIBINOX 308 Mo,S 117,S 61,S 62,SCr 2,SCr 3,SCr 4,SCr 5,SCr430,SCr435,SCr 21,SCr 22,SCr 415,chromium,DIN 40NiCrMo66,1.6565,304,1Cr18Ni9,'0Cr18Ni9,EN 10270-3,GB/T 3280,GB/T 4237,EN10327,GB24511,GB13296-91,GB/T1220-2007","X 10 NiCr 32-20,X 215 Cr 12,X 8 Cr 15,X 8 Cr 9,X2CrNiMoN22-5-3,X2CrNiMoN2253,X2CrNiMoN22-5-3,"
9,pipe,"管,棒,管材,管料,棒材,棒料,空心柱体,","pipe,tube,stick,club,strong,hollow cylinder steel",Grade not available/等级不存在,"DIN1626,DIN17175,DIN1629/4,GB/T5310,GB3087,GB/T3091,YB/T5305,GB/T13793,SY/T5768,GB3088,GB/T8162
"
