,process,id,name,description,processType,lastChange,version,location,category
0,"aluminium, ingot, primary, import from Oceania | aluminium, primary, ingot | Cutoff, S_IAI Area, North America",51e1eacb-328e-4a14-a25a-34e51d9973ba,"aluminium, ingot, primary, import from Oceania | aluminium, primary, ingot | Cutoff, S","This dataset represents the amount of imported primary aluminium from Oceania to North America. The import value is valid for 2016 and includes all imports, independently whether used within the importing region, or re-exported. AA and AAC statistics This activity represents the point of ""handing over"" the primary aluminium ingot from one country to the other at the border. From cradle, i.e. including all upstream activities.",ProcessType.LCI_RESULT,2021-01-05T00:55:45.994+08:00,03.01.003,"IAI Area, North America",2420:Manufacture of basic precious and other non-ferrous metals
1,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S_IAI Area, Russia & RER w/o EU27 & EFTA",f7d799ea-9d80-363b-bcf5-26cf8c2a6c4b,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S","The dataset represents the production of 1kg of primary aluminium ingot. Molten aluminium produced from the electrolytic process is tapped from reduction cells, weighed, sampled and analysed before it is poured into a holding furnace and heated to approximately 750°C using natural gas as a fuel. Alloying elements, such as magnesium, silicon and manganese, for additional strength, corrosion resistance and other properties, are added to the aluminium. It is typically at this point in the process that clean, sorted scrap can also be added but for the purposes of this dataset, scrap remelting is excluded. During furnace charging and preparation, aluminium dross (a thick liquid or solid phase) forms at the surface of molten aluminium. This mixture of aluminium oxides is remelted to recover the aluminium that would otherwise be lost. Metallurgical analysis verifies that the metal meets customer specifications before the molten, alloyed (or pure, unalloyed) aluminium is cast into products of specific dimensions, before being weighed, bundled and strapped ready for transport. Original dataset included some alloying elements.  These were replaced by liquid aluminium to generate a theoretical 100% aluminium ingot.
For more information on the process, please go to 
http://primary.world-aluminium.org/index.php?id=285;[This dataset is meant to replace the following datasets:] The unit process begins with the unloading of process material to their storage areas on site.  The operations covered by this dataset include:
* pre-treatment of hot metal
* recovery and handling of internal process scrap
* batching, metal treatment and casting operations
* homogenizing, sawing and packaging activities
* maintenance and repair of plant and equipment
* treatment of process air, liquids and solids.
* production of infrastructure (through rough estimate) was also added. From cradle, i.e. including all upstream activities. The output of this unit process is packaged aluminium ingots, wrought alloy.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.013+08:00,03.02.003,"IAI Area, Russia & Europe outside EU27 & EFTA",2420:Manufacture of basic precious and other non-ferrous metals
2,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S_IAI Area, South America",6d597b2b-bd01-3443-a159-5c663bcedc02,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S","The dataset represents the production of 1kg of primary aluminium ingot. Molten aluminium produced from the electrolytic process is tapped from reduction cells, weighed, sampled and analysed before it is poured into a holding furnace and heated to approximately 750°C using natural gas as a fuel. Alloying elements, such as magnesium, silicon and manganese, for additional strength, corrosion resistance and other properties, are added to the aluminium. It is typically at this point in the process that clean, sorted scrap can also be added but for the purposes of this dataset, scrap remelting is excluded. During furnace charging and preparation, aluminium dross (a thick liquid or solid phase) forms at the surface of molten aluminium. This mixture of aluminium oxides is remelted to recover the aluminium that would otherwise be lost. Metallurgical analysis verifies that the metal meets customer specifications before the molten, alloyed (or pure, unalloyed) aluminium is cast into products of specific dimensions, before being weighed, bundled and strapped ready for transport. Original dataset included some alloying elements.  These were replaced by liquid aluminium to generate a theoretical 100% aluminium ingot.
For more information on the process, please go to 
http://primary.world-aluminium.org/index.php?id=285;[This dataset is meant to replace the following datasets:] The unit process begins with the unloading of process material to their storage areas on site.  The operations covered by this dataset include:
* pre-treatment of hot metal
* recovery and handling of internal process scrap
* batching, metal treatment and casting operations
* homogenizing, sawing and packaging activities
* maintenance and repair of plant and equipment
* treatment of process air, liquids and solids.
* production of infrastructure (through rough estimate) was also added. From cradle, i.e. including all upstream activities. The output of this unit process is packaged aluminium ingots, wrought alloy.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.015+08:00,03.02.003,"IAI Area, South America",2420:Manufacture of basic precious and other non-ferrous metals
3,"aluminium, ingot, primary, import from Northern America | aluminium, primary, ingot | Cutoff, S_IAI Area, EU27 & EFTA",09d29101-18f8-4982-81e7-520a5d271c73,"aluminium, ingot, primary, import from Northern America | aluminium, primary, ingot | Cutoff, S","This dataset represents the amount of imported primary aluminium from North America (Canada) to EU27 & EFTA. The import value is valid for 2015 and includes all  imports, independently whether used within the importing region, or re-exported. EAA statistics This activity represents the point of ""handing over"" the primary aluminium ingot from one country to the other at the border. From cradle, i.e. including all upstream activities.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.032+08:00,03.04.003,"Aluminium producing area, EU27 and EFTA countries",2420:Manufacture of basic precious and other non-ferrous metals
4,"aluminium, ingot, primary, import from EU27 & EFTA | aluminium, primary, ingot | Cutoff, S_IAI Area, North America",4cc60485-0423-4645-87ce-f18e06cc9263,"aluminium, ingot, primary, import from EU27 & EFTA | aluminium, primary, ingot | Cutoff, S","This dataset represents the amount of imported primary aluminium from Europe (EU27 & EFTA) to North America. The import value is valid for 2016 and includes all imports, independently whether used within the importing region, or re-exported. AA and AAC statistics This activity represents the point of ""handing over"" the primary aluminium ingot from one country to the other at the border. From cradle, i.e. including all upstream activities.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.109+08:00,03.01.003,"IAI Area, North America",2420:Manufacture of basic precious and other non-ferrous metals
5,"aluminium, ingot, primary, import from Middle East (Gulf cooperation Council) | aluminium, primary, ingot | Cutoff, S_IAI Area, North America",d4851e4d-ea90-43a7-9233-180119f1ada7,"aluminium, ingot, primary, import from Middle East (Gulf cooperation Council) | aluminium, primary, ingot | Cutoff, S","This dataset represents the amount of imported primary aluminium from Middle East (Gulf cooperation Council)
 to North America. The import value is valid for 2016 and includes all imports, independently whether used within the importing region, or re-exported. AA and AAC statistics This activity represents the point of ""handing over"" the primary aluminium ingot from one country to the other at the border. From cradle, i.e. including all upstream activities.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.111+08:00,03.01.003,"IAI Area, North America",2420:Manufacture of basic precious and other non-ferrous metals
6,"market for aluminium, primary, ingot | aluminium, primary, ingot | Cutoff, S_RoW",cf42b43e-fff7-46f3-a27c-68625fdaeda6,"market for aluminium, primary, ingot | aluminium, primary, ingot | Cutoff, S","This product is generally considered to be used at the production site.  Therefore, the market does not contain any transport. From cradle, i.e. including all upstream activities.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.124+08:00,03.02.003,Rest-of-World,2420:Manufacture of basic precious and other non-ferrous metals
7,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S_IAI Area, Africa",8a78e9db-93e3-3e62-9ee9-bbd4b33305a6,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S","The dataset represents the production of 1kg of primary aluminium ingot. Molten aluminium produced from the electrolytic process is tapped from reduction cells, weighed, sampled and analysed before it is poured into a holding furnace and heated to approximately 750°C using natural gas as a fuel. Alloying elements, such as magnesium, silicon and manganese, for additional strength, corrosion resistance and other properties, are added to the aluminium. It is typically at this point in the process that clean, sorted scrap can also be added but for the purposes of this dataset, scrap remelting is excluded. During furnace charging and preparation, aluminium dross (a thick liquid or solid phase) forms at the surface of molten aluminium. This mixture of aluminium oxides is remelted to recover the aluminium that would otherwise be lost. Metallurgical analysis verifies that the metal meets customer specifications before the molten, alloyed (or pure, unalloyed) aluminium is cast into products of specific dimensions, before being weighed, bundled and strapped ready for transport. Original dataset included some alloying elements.  These were replaced by liquid aluminium to generate a theoretical 100% aluminium ingot.
For more information on the process, please go to 
http://primary.world-aluminium.org/index.php?id=285;[This dataset is meant to replace the following datasets:] The unit process begins with the unloading of process material to their storage areas on site.  The operations covered by this dataset include:
* pre-treatment of hot metal
* recovery and handling of internal process scrap
* batching, metal treatment and casting operations
* homogenizing, sawing and packaging activities
* maintenance and repair of plant and equipment
* treatment of process air, liquids and solids.
* production of infrastructure (through rough estimate) was also added. From cradle, i.e. including all upstream activities. The output of this unit process is packaged aluminium ingots, wrought alloy.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.146+08:00,03.02.003,"IAI Area, Africa",2420:Manufacture of basic precious and other non-ferrous metals
8,"aluminium, ingot, primary, import from Rest of Europe | aluminium, primary, ingot | Cutoff, S_IAI Area, North America",e04f9ffa-3bb8-478f-b16c-10c98927fcf9,"aluminium, ingot, primary, import from Rest of Europe | aluminium, primary, ingot | Cutoff, S","This dataset represents the amount of imported primary aluminium from Russia to North America. The import value is valid for 2016 and includes all imports, independently whether used within the importing region, or re-exported. AA and AAC statistics This activity represents the point of ""handing over"" the primary aluminium ingot from one country to the other at the border. From cradle, i.e. including all upstream activities.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.171+08:00,03.01.003,"IAI Area, North America",2420:Manufacture of basic precious and other non-ferrous metals
9,"aluminium, ingot, primary, import from Asia (excluding China) | aluminium, primary, ingot | Cutoff, S_IAI Area, North America",26fe4f67-4ec1-4ff0-af43-37a7189b17d5,"aluminium, ingot, primary, import from Asia (excluding China) | aluminium, primary, ingot | Cutoff, S","This dataset represents the amount of imported primary aluminium from Asia (excluding China) to North America. The import value is valid for 2016 and includes all imports, independently whether used within the importing region, or re-exported. AA and AAC statistics This activity represents the point of ""handing over"" the primary aluminium ingot from one country to the other at the border. From cradle, i.e. including all upstream activities.",ProcessType.LCI_RESULT,2021-01-05T00:55:46.194+08:00,03.01.003,"IAI Area, North America",2420:Manufacture of basic precious and other non-ferrous metals
