,"aluminium, primary, ingot","aluminium, primary, liquid","aluminium alloy, AlMg3","aluminium removed by milling, dressing","electricity, medium voltage, aluminium industry",hydraulic fracturing fluid,lubricating oil,"natural gas, low pressure",tap water,scrap aluminium,"aluminium oxide, metallurgical","nitrogen, liquid","sodium chloride, powder","wastewater, average","aluminium removed by drilling, conventional","aluminium removed by milling, dressing.1","aluminium removed by turning, average, conventional","aluminium removed by turning, primarily roughing, conventional","steel, chromium steel 18/8, hot rolled",waste aluminium,"aluminium removed by drilling, computer numerical controlled","aluminium removed by milling, large parts","aluminium removed by milling, small parts","aluminium removed by turning, primarily roughing, computer numerical controlled","electricity, high voltage, aluminium industry","electricity, high voltage, for internal use in coal mining","electricity, low voltage","electricity, medium voltage","electricity, medium voltage, label-certified","natural gas, high pressure","natural gas, medium pressure, vehicle grade","natural gas, liquefied","wire drawing, steel",nylon 6-6,glass fibre,"wire drawing, steel.1","impact extrusion of steel, cold, 3 strokes","impact extrusion of aluminium, 3 strokes",injection moulding,"steel, unalloyed",chromium steel pipe,scrap steel,"steel, low-alloyed, hot rolled","steel, low-alloyed","steel, chromium steel 18/8","chromium steel removed by drilling, conventional","steel removed by turning, primarily dressing, computer numerical controlled","chromium steel removed by milling, average"
0,"aluminium, ingot, primary, import from Oceania | aluminium, primary, ingot | Cutoff, S_IAI Area, North America","aluminium production, primary, liquid, Söderberg | aluminium, primary, liquid | Cutoff, S_IAI Area, Asia, without China and GCC","aluminium alloy production, AlMg3 | aluminium alloy, AlMg3 | Cutoff, S_RoW","market for aluminium removed by milling, dressing | aluminium removed by milling, dressing | Cutoff, S_GLO","market for electricity, medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_IAI Area, EU27 & EFTA","market for hydraulic fracturing fluid | hydraulic fracturing fluid | Cutoff, S_GLO","market for lubricating oil | lubricating oil | Cutoff, S_RoW","natural gas pressure reduction from high to low pressure | natural gas, low pressure | Cutoff, S_RoW","market for tap water | tap water | Cutoff, S_PE","market for scrap aluminium | scrap aluminium | Cutoff, S_RoW","market for aluminium oxide, metallurgical | aluminium oxide, metallurgical | Cutoff, S_RoW","market for nitrogen, liquid | nitrogen, liquid | Cutoff, S_RoW","rare earth oxides production, from rare earth oxide concentrate, 70% REO | sodium chloride, powder | Cutoff, S_CN-SC","treatment of wastewater, average, capacity 5E9l/year | wastewater, average | Cutoff, S_CA-QC","aluminium drilling, conventional | aluminium removed by drilling, conventional | Cutoff, S_RER","market for aluminium removed by milling, dressing | aluminium removed by milling, dressing | Cutoff, S_GLO","market for aluminium removed by turning, average, conventional | aluminium removed by turning, average, conventional | Cutoff, S_GLO","market for aluminium removed by turning, primarily roughing, conventional | aluminium removed by turning, primarily roughing, conventional | Cutoff, S_GLO","steel production, chromium steel 18/8, hot rolled | steel, chromium steel 18/8, hot rolled | Cutoff, S_RoW","treatment of waste aluminium, sanitary landfill | waste aluminium | Cutoff, S_RoW","aluminium drilling, computer numerical controlled | aluminium removed by drilling, computer numerical controlled | Cutoff, S_RER","aluminium milling, large parts | aluminium removed by milling, large parts | Cutoff, S_RER","aluminium milling, small parts | aluminium removed by milling, small parts | Cutoff, S_RER","market for aluminium removed by turning, primarily roughing, computer numerical controlled | aluminium removed by turning, primarily roughing, computer numerical controlled | Cutoff, S_GLO","electricity production, hydro, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, South America","market for electricity, high voltage, for internal use in coal mining | electricity, high voltage, for internal use in coal mining | Cutoff, S_GLO","market for electricity, low voltage | electricity, low voltage | Cutoff, S_LU","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_OM","electricity voltage transformation from high to medium voltage, label-certified | electricity, medium voltage, label-certified | Cutoff, S_CH","market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_DK","natural gas production, medium pressure, vehicle grade | natural gas, medium pressure, vehicle grade | Cutoff, S_CH","natural gas production, liquefied | natural gas, liquefied | Cutoff, S_RoW","wire drawing, steel | wire drawing, steel | Cutoff, S_RoW","nylon 6-6 production | nylon 6-6 | Cutoff, S_RER","glass fibre production | glass fibre | Cutoff, S_RoW","wire drawing, steel | wire drawing, steel | Cutoff, S_RoW","market for impact extrusion of steel, cold, 3 strokes | impact extrusion of steel, cold, 3 strokes | Cutoff, S_GLO","impact extrusion of aluminium, 3 strokes | impact extrusion of aluminium, 3 strokes | Cutoff, S_RER","injection moulding | injection moulding | Cutoff, S_RER","market for steel, unalloyed | steel, unalloyed | Cutoff, S_GLO","chromium steel pipe production | chromium steel pipe | Cutoff, S_GLO","clinker production | scrap steel | Cutoff, S_BR","steel production, low-alloyed, hot rolled | steel, low-alloyed, hot rolled | Cutoff, S_RER","steel production, electric, low-alloyed | steel, low-alloyed | Cutoff, S_Europe without Switzerland and Austria","steel production, electric, chromium steel 18/8 | steel, chromium steel 18/8 | Cutoff, S_RER","chromium steel drilling, conventional | chromium steel removed by drilling, conventional | Cutoff, S_RoW","steel turning, primarily dressing, computer numerical controlled | steel removed by turning, primarily dressing, computer numerical controlled | Cutoff, S_RER","chromium steel milling, average | chromium steel removed by milling, average | Cutoff, S_RoW"
1,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S_IAI Area, Russia & RER w/o EU27 & EFTA","aluminium production, primary, liquid, Söderberg | aluminium, primary, liquid | Cutoff, S_RoW","market for aluminium alloy, AlMg3 | aluminium alloy, AlMg3 | Cutoff, S_GLO","aluminium milling, dressing | aluminium removed by milling, dressing | Cutoff, S_RER","electricity voltage transformation from high to medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_IAI Area, Asia, without China and GCC","hydraulic fluid production, for geological stimulation | hydraulic fracturing fluid | Cutoff, S_GLO","market for lubricating oil | lubricating oil | Cutoff, S_RER","market for natural gas, low pressure | natural gas, low pressure | Cutoff, S_CH","tap water production, seawater reverse osmosis, ultrafiltration pretreatment, enhance module, two stages | tap water | Cutoff, S_GLO","treatment of scrap aluminium, municipal incineration with fly ash extraction | scrap aluminium | Cutoff, S_CH","aluminium oxide, metallurgical, import from South America | aluminium oxide, metallurgical | Cutoff, S_IAI Area, EU27 & EFTA","air separation, cryogenic | nitrogen, liquid | Cutoff, S_RER","market for sodium chloride, powder | sodium chloride, powder | Cutoff, S_GLO","treatment of wastewater, average, capacity 1E9l/year | wastewater, average | Cutoff, S_CH","aluminium drilling, conventional | aluminium removed by drilling, conventional | Cutoff, S_RoW","aluminium milling, dressing | aluminium removed by milling, dressing | Cutoff, S_RER","aluminium turning, average, conventional | aluminium removed by turning, average, conventional | Cutoff, S_RER","aluminium turning, primarily roughing, conventional | aluminium removed by turning, primarily roughing, conventional | Cutoff, S_RoW","steel production, chromium steel 18/8, hot rolled | steel, chromium steel 18/8, hot rolled | Cutoff, S_RER","treatment of waste aluminium, sanitary landfill | waste aluminium | Cutoff, S_CH","market for aluminium removed by drilling, computer numerical controlled | aluminium removed by drilling, computer numerical controlled | Cutoff, S_GLO","aluminium milling, large parts | aluminium removed by milling, large parts | Cutoff, S_RoW","aluminium milling, small parts | aluminium removed by milling, small parts | Cutoff, S_RoW","aluminium turning, primarily roughing, computer numerical controlled | aluminium removed by turning, primarily roughing, computer numerical controlled | Cutoff, S_RoW","electricity production, coal, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_RoW","electricity production, hard coal, at coal mine power plant | electricity, high voltage, for internal use in coal mining | Cutoff, S_CN","market for electricity, low voltage | electricity, low voltage | Cutoff, S_BJ","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_BW","market for electricity, medium voltage, label-certified | electricity, medium voltage, label-certified | Cutoff, S_CH","natural gas, high pressure, import from NL | natural gas, high pressure | Cutoff, S_AT","market for natural gas, medium pressure, vehicle grade | natural gas, medium pressure, vehicle grade | Cutoff, S_GLO","market for natural gas, liquefied | natural gas, liquefied | Cutoff, S_GLO","market for wire drawing, steel | wire drawing, steel | Cutoff, S_GLO","market for nylon 6-6 | nylon 6-6 | Cutoff, S_RoW","glass fibre production | glass fibre | Cutoff, S_RER","market for wire drawing, steel | wire drawing, steel | Cutoff, S_GLO","impact extrusion of steel, cold, 3 strokes | impact extrusion of steel, cold, 3 strokes | Cutoff, S_RoW","impact extrusion of aluminium, 3 strokes | impact extrusion of aluminium, 3 strokes | Cutoff, S_RoW","injection moulding | injection moulding | Cutoff, S_CA-QC","steel production, converter, unalloyed | steel, unalloyed | Cutoff, S_RoW","market for chromium steel pipe | chromium steel pipe | Cutoff, S_GLO","market for scrap steel | scrap steel | Cutoff, S_Europe without Switzerland","market for steel, low-alloyed, hot rolled | steel, low-alloyed, hot rolled | Cutoff, S_GLO","steel production, electric, low-alloyed | steel, low-alloyed | Cutoff, S_RoW","market for steel, chromium steel 18/8 | steel, chromium steel 18/8 | Cutoff, S_GLO","market for chromium steel removed by drilling, conventional | chromium steel removed by drilling, conventional | Cutoff, S_GLO","steel turning, primarily dressing, computer numerical controlled | steel removed by turning, primarily dressing, computer numerical controlled | Cutoff, S_RoW","market for chromium steel removed by milling, average | chromium steel removed by milling, average | Cutoff, S_GLO"
2,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S_IAI Area, South America","aluminium production, primary, liquid, prebake | aluminium, primary, liquid | Cutoff, S_IAI Area, Asia, without China and GCC","aluminium alloy production, AlMg3 | aluminium alloy, AlMg3 | Cutoff, S_RER","aluminium milling, dressing | aluminium removed by milling, dressing | Cutoff, S_RoW","market for electricity, medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_RoW",,"lubricating oil production | lubricating oil | Cutoff, S_RER","market for natural gas, low pressure | natural gas, low pressure | Cutoff, S_RoW","tap water production, underground water with chemical treatment | tap water | Cutoff, S_CH","treatment of scrap aluminium, municipal incineration | scrap aluminium | Cutoff, S_RoW","market for aluminium oxide, metallurgical | aluminium oxide, metallurgical | Cutoff, S_IAI Area, EU27 & EFTA","market for nitrogen, liquid | nitrogen, liquid | Cutoff, S_RER","sodium chloride production, powder | sodium chloride, powder | Cutoff, S_RoW","treatment of wastewater, average, capacity 1E9l/year | wastewater, average | Cutoff, S_RoW","market for aluminium removed by drilling, conventional | aluminium removed by drilling, conventional | Cutoff, S_GLO","aluminium milling, dressing | aluminium removed by milling, dressing | Cutoff, S_RoW","aluminium turning, average, conventional | aluminium removed by turning, average, conventional | Cutoff, S_RoW","aluminium turning, primarily roughing, conventional | aluminium removed by turning, primarily roughing, conventional | Cutoff, S_RER","market for steel, chromium steel 18/8, hot rolled | steel, chromium steel 18/8, hot rolled | Cutoff, S_GLO","market for waste aluminium | waste aluminium | Cutoff, S_GLO","aluminium drilling, computer numerical controlled | aluminium removed by drilling, computer numerical controlled | Cutoff, S_RoW","market for aluminium removed by milling, large parts | aluminium removed by milling, large parts | Cutoff, S_GLO","market for aluminium removed by milling, small parts | aluminium removed by milling, small parts | Cutoff, S_GLO","aluminium turning, primarily roughing, computer numerical controlled | aluminium removed by turning, primarily roughing, computer numerical controlled | Cutoff, S_RER","electricity production, hydro, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, EU27 & EFTA","electricity production, hard coal, at coal mine power plant | electricity, high voltage, for internal use in coal mining | Cutoff, S_RoW","electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-JS","natural gas, burned in gas turbine, for compressor station | electricity, medium voltage | Cutoff, S_CA-AB",,"natural gas, high pressure, import from NO | natural gas, high pressure | Cutoff, S_CZ","natural gas production, medium pressure, vehicle grade | natural gas, medium pressure, vehicle grade | Cutoff, S_RoW","natural gas production, liquefied | natural gas, liquefied | Cutoff, S_DZ","wire drawing, steel | wire drawing, steel | Cutoff, S_RER","market for nylon 6-6 | nylon 6-6 | Cutoff, S_RER","market for glass fibre | glass fibre | Cutoff, S_GLO","wire drawing, steel | wire drawing, steel | Cutoff, S_RER","impact extrusion of steel, cold, 3 strokes | impact extrusion of steel, cold, 3 strokes | Cutoff, S_RER","market for impact extrusion of aluminium, 3 strokes | impact extrusion of aluminium, 3 strokes | Cutoff, S_GLO","market for injection moulding | injection moulding | Cutoff, S_GLO","steel production, converter, unalloyed | steel, unalloyed | Cutoff, S_RER",,"treatment of scrap steel, municipal incineration | scrap steel | Cutoff, S_RoW","steel production, low-alloyed, hot rolled | steel, low-alloyed, hot rolled | Cutoff, S_RoW","steel production, converter, low-alloyed | steel, low-alloyed | Cutoff, S_RoW","steel production, electric, chromium steel 18/8 | steel, chromium steel 18/8 | Cutoff, S_RoW","chromium steel drilling, conventional | chromium steel removed by drilling, conventional | Cutoff, S_RER","market for steel removed by turning, primarily dressing, computer numerical controlled | steel removed by turning, primarily dressing, computer numerical controlled | Cutoff, S_GLO","chromium steel milling, average | chromium steel removed by milling, average | Cutoff, S_RER"
3,"aluminium, ingot, primary, import from Northern America | aluminium, primary, ingot | Cutoff, S_IAI Area, EU27 & EFTA","aluminium production, primary, liquid, prebake | aluminium, primary, liquid | Cutoff, S_UN-OCEANIA",,,"electricity voltage transformation from high to medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_IAI Area, EU27 & EFTA",,"lubricating oil production | lubricating oil | Cutoff, S_RoW","natural gas pressure reduction from high to low pressure | natural gas, low pressure | Cutoff, S_CH","tap water production, conventional with biological treatment | tap water | Cutoff, S_Europe without Switzerland","market for scrap aluminium | scrap aluminium | Cutoff, S_CH","aluminium oxide production | aluminium oxide, metallurgical | Cutoff, S_UN-OCEANIA","air separation, cryogenic | nitrogen, liquid | Cutoff, S_CA-QC","sodium chloride production, powder | sodium chloride, powder | Cutoff, S_RER","clinker production | wastewater, average | Cutoff, S_CO",,,,,,,,,,,"electricity production, hydro, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_UN-OCEANIA",,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_GI","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_EC",,"natural gas, high pressure, import from NO | natural gas, high pressure | Cutoff, S_SE",,"natural gas production, liquefied | natural gas, liquefied | Cutoff, S_RME",,"nylon 6-6 production | nylon 6-6 | Cutoff, S_RoW",,,,,"injection moulding | injection moulding | Cutoff, S_RoW",,,"treatment of scrap steel, inert material landfill | scrap steel | Cutoff, S_Europe without Switzerland",,"steel production, electric, low-alloyed | steel, low-alloyed | Cutoff, S_IN",,,,
4,"aluminium, ingot, primary, import from EU27 & EFTA | aluminium, primary, ingot | Cutoff, S_IAI Area, North America","aluminium production, primary, liquid, prebake | aluminium, primary, liquid | Cutoff, S_RoW",,,"market for electricity, medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_IAI Area, Asia, without China and GCC",,,,"tap water production, direct filtration treatment | tap water | Cutoff, S_CO","market for scrap aluminium | scrap aluminium | Cutoff, S_Europe without Switzerland","aluminium oxide production | aluminium oxide, metallurgical | Cutoff, S_RNA","air separation, cryogenic | nitrogen, liquid | Cutoff, S_RoW",,"clinker production | wastewater, average | Cutoff, S_RoW",,,,,,,,,,,"electricity production, natural gas, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, Gulf Cooperation Council",,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_LU","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_ZM",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_NO",,,,,,,,,,,,"treatment of scrap steel, municipal incineration | scrap steel | Cutoff, S_CH",,"steel production, electric, low-alloyed | steel, low-alloyed | Cutoff, S_AT",,,,
5,"aluminium, ingot, primary, import from Middle East (Gulf cooperation Council) | aluminium, primary, ingot | Cutoff, S_IAI Area, North America","aluminium production, primary, liquid, prebake | aluminium, primary, liquid | Cutoff, S_IAI Area, Gulf Cooperation Council",,,"electricity voltage transformation from high to medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_IAI Area, Gulf Cooperation Council",,,,"tap water production, ultrafiltration treatment | tap water | Cutoff, S_RoW","treatment of scrap aluminium, municipal incineration | scrap aluminium | Cutoff, S_Europe without Switzerland","aluminium oxide production | aluminium oxide, metallurgical | Cutoff, S_IAI Area, Asia, without China and GCC",,,"market for wastewater, average | wastewater, average | Cutoff, S_CH",,,,,,,,,,,"electricity production, natural gas, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_CA",,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_IN-DL","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_US-FRCC",,"petroleum and gas production, on-shore | natural gas, high pressure | Cutoff, S_US",,,,,,,,,,,,"market for scrap steel | scrap steel | Cutoff, S_RoW",,"market for steel, low-alloyed | steel, low-alloyed | Cutoff, S_GLO",,,,
6,"market for aluminium, primary, ingot | aluminium, primary, ingot | Cutoff, S_RoW","aluminium production, primary, liquid, prebake | aluminium, primary, liquid | Cutoff, S_CN",,,"electricity voltage transformation from high to medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_RoW",,,,"tap water production, direct filtration treatment | tap water | Cutoff, S_PE","treatment of scrap aluminium, municipal incineration | scrap aluminium | Cutoff, S_CH","aluminium oxide, metallurgical, import from Rest of Europe | aluminium oxide, metallurgical | Cutoff, S_IAI Area, EU27 & EFTA",,,"treatment of wastewater, average, capacity 1.1E10l/year | wastewater, average | Cutoff, S_CH",,,,,,,,,,,"electricity production, hydro, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_CN",,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CL","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_AM",,"natural gas, high pressure, import from NO | natural gas, high pressure | Cutoff, S_DK",,,,,,,,,,,,"market for scrap steel | scrap steel | Cutoff, S_CH",,"steel production, electric, low-alloyed | steel, low-alloyed | Cutoff, S_CH",,,,
7,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S_IAI Area, Africa","aluminium production, primary, liquid, Söderberg | aluminium, primary, liquid | Cutoff, S_IAI Area, Russia & RER w/o EU27 & EFTA",,,"market for electricity, medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_UN-OCEANIA",,,,"tap water production, microstrainer treatment | tap water | Cutoff, S_CA-QC",,"aluminium oxide, metallurgical, import from Northern America | aluminium oxide, metallurgical | Cutoff, S_IAI Area, EU27 & EFTA",,,"treatment of wastewater, average, capacity 4.7E10l/year | wastewater, average | Cutoff, S_CH",,,,,,,,,,,"electricity production, coal, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, EU27 & EFTA",,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CA-SK","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_US-SERC",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_CZ",,,,,,,,,,,,"treatment of scrap steel, municipal incineration | scrap steel | Cutoff, S_Europe without Switzerland",,"steel production, converter, low-alloyed | steel, low-alloyed | Cutoff, S_IN",,,,
8,"aluminium, ingot, primary, import from Rest of Europe | aluminium, primary, ingot | Cutoff, S_IAI Area, North America","aluminium production, primary, liquid, Söderberg | aluminium, primary, liquid | Cutoff, S_IAI Area, EU27 & EFTA",,,"electricity voltage transformation from high to medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_UN-OCEANIA",,,,"market for tap water | tap water | Cutoff, S_CH",,"aluminium oxide production | aluminium oxide, metallurgical | Cutoff, S_IAI Area, South America",,,"treatment of wastewater, average, capacity 1.1E10l/year | wastewater, average | Cutoff, S_CA-QC",,,,,,,,,,,"electricity production, hydro, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, Africa",,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_MY","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CA-NF",,"natural gas, high pressure, import from NO | natural gas, high pressure | Cutoff, S_AT",,,,,,,,,,,,"treatment of scrap steel, municipal incineration with fly ash extraction | scrap steel | Cutoff, S_CH",,"steel production, electric, low-alloyed | steel, low-alloyed | Cutoff, S_CA-QC",,,,
9,"aluminium, ingot, primary, import from Asia (excluding China) | aluminium, primary, ingot | Cutoff, S_IAI Area, North America","aluminium production, primary, liquid, prebake | aluminium, primary, liquid | Cutoff, S_CA",,,"market for electricity, medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_IAI Area, Russia & RER w/o EU27 & EFTA",,,,"market for tap water | tap water | Cutoff, S_CA-QC",,"aluminium oxide production | aluminium oxide, metallurgical | Cutoff, S_IAI Area, EU27 & EFTA",,,"treatment of wastewater, average, capacity 1.6E8l/year | wastewater, average | Cutoff, S_CA-QC",,,,,,,,,,,"electricity production, nuclear, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, EU27 & EFTA",,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_VE","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_IS",,"natural gas, high pressure, import from NL | natural gas, high pressure | Cutoff, S_DE",,,,,,,,,,,,"treatment of scrap steel, inert material landfill | scrap steel | Cutoff, S_RoW",,"steel production, converter, low-alloyed | steel, low-alloyed | Cutoff, S_RER",,,,
